site_id,site_name,state,latitude,longitude,elevation_m,temp_bias_c,prec_total_bias_pct
867:ID:SNTL,Wildhorse Divide,ID,42.75743,-112.47783,1978.152,-0.1087010205391257,-29.73557804106262
871:ID:SNTL,Wilson Creek,ID,42.01257,-115.00278,2170.176,-0.4406523717625339,-31.474873293676715
307:MT:SNTL,Badger Pass,MT,48.13088,-113.02317,2103.12,-0.4113337843344522,-49.94627489578508
313:MT:SNTL,Barker Lakes,MT,46.09713,-113.13038,2514.6,-0.6862905002282877,-30.11951659523573
315:MT:SNTL,Basin Creek,MT,45.79737,-112.52047,2188.464,-0.7300564264976943,-50.22196290629548
318:MT:SNTL,Beagle Springs,MT,44.47147,-112.98191,2697.48,-0.596957187385822,-43.40849027800095
328:MT:SNTL,Beaver Creek,MT,44.94966,-111.35852,2392.6800000000003,0.6204918552180589,-80.39441371272633
347:MT:SNTL,Black Bear,MT,44.50832,-111.12803,2490.2160000000003,-0.5736575243766894,-31.655029231861036
349:MT:SNTL,Black Pine,MT,46.414,-113.43095,2197.608,-0.4769010113355939,-32.60953465857752
355:MT:SNTL,Bloody Dick,MT,45.16507,-113.50099,2316.48,0.282230301207785,-70.97684704305578
